timestamp,iteration,run_mode,frequency_combination,frequencies,frequency_index,num_cores,cores_str,input_arg,application_id,benchmark,variant,time_elapsed,total_energy_consumption,branch_misses,cache_misses,core_combination,platform,avg_temp_before,avg_temp_after,thermal_zone_before0,thermal_zone_before1,thermal_zone_before10,thermal_zone_before11,thermal_zone_before12,thermal_zone_before13,thermal_zone_before14,thermal_zone_before15,thermal_zone_before16,thermal_zone_before17,thermal_zone_before18,thermal_zone_before19,thermal_zone_before2,thermal_zone_before20,thermal_zone_before21,thermal_zone_before22,thermal_zone_before23,thermal_zone_before24,thermal_zone_before25,thermal_zone_before26,thermal_zone_before27,thermal_zone_before28,thermal_zone_before29,thermal_zone_before3,thermal_zone_before30,thermal_zone_before31,thermal_zone_before32,thermal_zone_before33,thermal_zone_before34,thermal_zone_before35,thermal_zone_before4,thermal_zone_before5,thermal_zone_before6,thermal_zone_before7,thermal_zone_before8,thermal_zone_before9,frequencies_read,cores,energy_batt_j,power_batt_w,energy_usb_j,power_usb_w,energy_wls_j,power_wls_w,energy_hwmon33_j,power_hwmon33_w,energy_hwmon34_j,power_hwmon34_w,thermal_zone0,thermal_zone0_type,thermal_zone1,thermal_zone1_type,thermal_zone10,thermal_zone10_type,thermal_zone11,thermal_zone11_type,thermal_zone12,thermal_zone12_type,thermal_zone13,thermal_zone13_type,thermal_zone14,thermal_zone14_type,thermal_zone15,thermal_zone15_type,thermal_zone16,thermal_zone16_type,thermal_zone17,thermal_zone17_type,thermal_zone18,thermal_zone18_type,thermal_zone19,thermal_zone19_type,thermal_zone2,thermal_zone2_type,thermal_zone20,thermal_zone20_type,thermal_zone21,thermal_zone21_type,thermal_zone22,thermal_zone22_type,thermal_zone23,thermal_zone23_type,thermal_zone24,thermal_zone24_type,thermal_zone25,thermal_zone25_type,thermal_zone26,thermal_zone26_type,thermal_zone27,thermal_zone27_type,thermal_zone28,thermal_zone28_type,thermal_zone29,thermal_zone29_type,thermal_zone3,thermal_zone3_type,thermal_zone30,thermal_zone30_type,thermal_zone31,thermal_zone31_type,thermal_zone32,thermal_zone32_type,thermal_zone33,thermal_zone33_type,thermal_zone34,thermal_zone34_type,thermal_zone35,thermal_zone35_type,thermal_zone4,thermal_zone4_type,thermal_zone5,thermal_zone5_type,thermal_zone6,thermal_zone6_type,thermal_zone7,thermal_zone7_type,thermal_zone8,thermal_zone8_type,thermal_zone9,thermal_zone9_type,cycles,cache_references,branch_instructions,task_clock,context_switches,minor_faults,major_faults,branches,instructions,page_faults,cpu_clock,user,sys
1759348479.979944,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,prot.20.aa,1,alignment,bin-for-omp-tasks,6.505606432,4217.48315034278,1405947,1061204,1,RUBIKPi,37.613638888888886,37.809944444444454,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,4.132583010750942,0.8635177202609999,0.0,0.0,0.0,0.0,4213.35056733203,863.7040000000001,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,42.4,cpuss0-thermal,42.8,cpuss1-thermal,41.6,cpu4-thermal,41.3,cpu5-thermal,42.0,cpu6-thermal,41.6,cpu7-thermal,42.4,cpu8-thermal,42.4,cpu9-thermal,42.8,cpu10-thermal,42.8,cpu11-thermal,0.0,pm8350c-bcl-lvl0,42.4,aoss1-thermal,42.0,gpuss0-thermal,42.4,gpuss1-thermal,41.6,nspss0-thermal,42.4,nspss1-thermal,42.4,video-thermal,43.2,ddr-thermal,42.4,mdmss0-thermal,41.6,mdmss1-thermal,42.0,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.0,mdmss3-thermal,42.4,camera0-thermal,39.839,xo-thermal,41.45,quiet-thermal,40.769,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,42.0,aoss0-thermal,42.4,cpu0-thermal,42.0,cpu1-thermal,42.4,cpu2-thermal,42.4,cpu3-thermal,1869167794,600928377,204912638,6233.51,47,4985,0,204912638,3342348303,4985,6233.06,5.871872,0.323068
1759348490.8170145,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,258064,2,fft,bin-omp-tasks,9.021312253,6356.059600775851,1722260,44302526,1,RUBIKPi,37.613638888888886,38.35791666666666,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,6.322849943294077,0.746205562686,0.0,0.0,0.0,0.0,6349.736750832557,746.475,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.2,cpuss0-thermal,43.6,cpuss1-thermal,42.0,cpu4-thermal,42.0,cpu5-thermal,42.8,cpu6-thermal,42.8,cpu7-thermal,43.6,cpu8-thermal,42.8,cpu9-thermal,43.2,cpu10-thermal,43.6,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.6,aoss1-thermal,42.8,gpuss0-thermal,43.2,gpuss1-thermal,42.4,nspss0-thermal,43.2,nspss1-thermal,43.2,video-thermal,43.6,ddr-thermal,42.8,mdmss0-thermal,42.0,mdmss1-thermal,42.4,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,39.957,xo-thermal,41.599,quiet-thermal,41.129,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,42.8,aoss0-thermal,42.8,cpu0-thermal,43.2,cpu1-thermal,42.8,cpu2-thermal,42.8,cpu3-thermal,2603981650,305720787,88288735,8682.91,81,6385,0,88288735,1357283877,6385,8682.44,8.225884,0.384091
1759348492.4859822,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,10,3,fib,bin-omp-tasks,0.411165318,315.2234629656803,969229,796094,1,RUBIKPi,37.613638888888886,38.32436111111111,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,0.31579548902624655,0.622678592824,0.0,0.0,0.0,0.0,314.90766747665407,620.928,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.2,cpuss0-thermal,43.6,cpuss1-thermal,42.8,cpu4-thermal,42.0,cpu5-thermal,42.8,cpu6-thermal,42.4,cpu7-thermal,43.2,cpu8-thermal,42.8,cpu9-thermal,43.2,cpu10-thermal,43.2,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.2,aoss1-thermal,42.4,gpuss0-thermal,42.8,gpuss1-thermal,42.8,nspss0-thermal,42.8,nspss1-thermal,42.8,video-thermal,43.2,ddr-thermal,43.2,mdmss0-thermal,42.0,mdmss1-thermal,42.4,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,39.976,xo-thermal,41.605,quiet-thermal,41.096,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,42.8,aoss0-thermal,43.6,cpu0-thermal,43.2,cpu1-thermal,42.8,cpu2-thermal,42.8,cpu3-thermal,117540384,22552091,13958202,394.03,41,4875,0,13958202,73165128,4875,393.71,0.088589,0.314073
1759348494.2426872,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,input.5,4,floorplan,bin-omp-tasks,0.437263694,367.9694853431722,993242,849934,1,RUBIKPi,37.613638888888886,38.348388888888884,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,0.36758095569810106,0.714154321716,0.0,0.0,0.0,0.0,367.6019043874741,714.195,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.2,cpuss0-thermal,43.6,cpuss1-thermal,42.4,cpu4-thermal,42.0,cpu5-thermal,42.8,cpu6-thermal,42.4,cpu7-thermal,43.6,cpu8-thermal,42.8,cpu9-thermal,43.2,cpu10-thermal,43.2,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.2,aoss1-thermal,42.8,gpuss0-thermal,42.8,gpuss1-thermal,42.4,nspss0-thermal,42.8,nspss1-thermal,42.8,video-thermal,43.6,ddr-thermal,43.2,mdmss0-thermal,41.6,mdmss1-thermal,42.0,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.6,camera0-thermal,40.015,xo-thermal,41.631,quiet-thermal,41.096,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,42.8,aoss0-thermal,43.6,cpu0-thermal,43.6,cpu1-thermal,43.2,cpu2-thermal,42.8,cpu3-thermal,125410382,25523201,14930025,420.28,49,4922,0,14930025,78676782,4922,419.97,0.08992,0.339873
1759348497.0098064,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,test.input,5,health,bin-omp-tasks,1.481692202,1297.0106973587824,1915235,2514428,1,RUBIKPi,37.613638888888886,38.417249999999996,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,1.2550446779084172,0.634950567328,0.0,0.0,0.0,0.0,1295.755652680874,633.024,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.6,cpuss0-thermal,43.6,cpuss1-thermal,42.8,cpu4-thermal,42.4,cpu5-thermal,42.8,cpu6-thermal,42.4,cpu7-thermal,43.6,cpu8-thermal,42.8,cpu9-thermal,43.6,cpu10-thermal,43.2,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.6,aoss1-thermal,42.8,gpuss0-thermal,43.2,gpuss1-thermal,42.4,nspss0-thermal,42.8,nspss1-thermal,42.8,video-thermal,43.6,ddr-thermal,43.2,mdmss0-thermal,42.0,mdmss1-thermal,42.0,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,40.022,xo-thermal,41.663,quiet-thermal,41.136,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,42.8,aoss0-thermal,43.6,cpu0-thermal,43.6,cpu1-thermal,43.2,cpu2-thermal,42.8,cpu3-thermal,426834800,89322763,54961437,1425.24,50,5025,0,54961437,317212548,5025,1424.86,0.889629,0.532032
1759348499.332753,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,100000,6,concom,bin-omp-tasks,0.820733726,817.8134061262368,1155860,1721426,1,RUBIKPi,37.613638888888886,38.57533333333333,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,0.817133429264866,0.705434299328,0.0,0.0,0.0,0.0,816.9962726969719,705.95,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,44.0,cpuss0-thermal,44.0,cpuss1-thermal,42.8,cpu4-thermal,42.4,cpu5-thermal,42.8,cpu6-thermal,42.8,cpu7-thermal,44.0,cpu8-thermal,42.8,cpu9-thermal,43.6,cpu10-thermal,43.6,cpu11-thermal,0.0,pm8350c-bcl-lvl0,44.0,aoss1-thermal,42.8,gpuss0-thermal,42.8,gpuss1-thermal,42.8,nspss0-thermal,43.6,nspss1-thermal,43.2,video-thermal,44.0,ddr-thermal,43.2,mdmss0-thermal,42.0,mdmss1-thermal,42.4,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,40.047,xo-thermal,41.69,quiet-thermal,41.175,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,43.2,aoss0-thermal,44.0,cpu0-thermal,43.6,cpu1-thermal,43.2,cpu2-thermal,43.2,cpu3-thermal,239869877,43635313,28142198,801.96,41,8378,0,28142198,142990326,8379,801.61,0.367466,0.43964
1759348501.1779332,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,knapsack-016.input,7,knapsack,bin-omp-tasks,0.428656227,464.9918449115406,990328,795542,1,RUBIKPi,37.613638888888886,38.420861111111115,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,0.46402553840981586,0.8995003428189999,0.0,0.0,0.0,0.0,464.5278193731308,900.474,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.2,cpuss0-thermal,44.0,cpuss1-thermal,42.4,cpu4-thermal,42.0,cpu5-thermal,42.8,cpu6-thermal,42.4,cpu7-thermal,43.2,cpu8-thermal,42.8,cpu9-thermal,43.6,cpu10-thermal,43.6,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.6,aoss1-thermal,42.8,gpuss0-thermal,43.2,gpuss1-thermal,42.8,nspss0-thermal,42.8,nspss1-thermal,43.2,video-thermal,43.6,ddr-thermal,43.2,mdmss0-thermal,41.6,mdmss1-thermal,42.4,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,40.054,xo-thermal,41.702,quiet-thermal,41.195,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,43.2,aoss0-thermal,43.2,cpu0-thermal,43.6,cpu1-thermal,43.2,cpu2-thermal,42.8,cpu3-thermal,122619689,23607287,14581860,411.03,49,4903,0,14581860,76517273,4903,410.69,0.060333,0.359888
1759348504.8480368,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,10,8,nqueens,bin-omp-tasks,2.496933788,1557.5670424003397,5006315,1452706,1,RUBIKPi,37.613638888888886,38.26672222222222,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,1.5563123106750798,0.522721359303,0.0,0.0,0.0,0.0,1556.0107300896645,523.9,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,42.8,cpuss0-thermal,43.6,cpuss1-thermal,42.0,cpu4-thermal,42.0,cpu5-thermal,42.4,cpu6-thermal,42.4,cpu7-thermal,43.2,cpu8-thermal,42.4,cpu9-thermal,43.6,cpu10-thermal,43.2,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.2,aoss1-thermal,42.8,gpuss0-thermal,42.8,gpuss1-thermal,42.4,nspss0-thermal,42.8,nspss1-thermal,42.8,video-thermal,43.2,ddr-thermal,42.8,mdmss0-thermal,42.0,mdmss1-thermal,42.4,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.2,camera0-thermal,40.099,xo-thermal,41.728,quiet-thermal,41.175,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,43.2,aoss0-thermal,43.2,cpu0-thermal,42.8,cpu1-thermal,42.8,cpu2-thermal,42.8,cpu3-thermal,718708046,183053879,134146787,2398.15,43,4856,0,134146787,644070714,4856,2397.78,1.599692,0.787993
1759348516.4258292,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,8388608,9,sort,bin-omp-tasks,10.154732478,8022.61595490522,90969607,18282166,1,RUBIKPi,37.613638888888886,38.69241666666667,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,7.945813878484628,0.773333079057,0.0,0.0,0.0,0.0,8014.670141026735,774.72,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,43.6,cpuss0-thermal,44.0,cpuss1-thermal,42.8,cpu4-thermal,42.4,cpu5-thermal,43.2,cpu6-thermal,42.8,cpu7-thermal,44.0,cpu8-thermal,43.2,cpu9-thermal,43.6,cpu10-thermal,43.6,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.6,aoss1-thermal,43.2,gpuss0-thermal,43.2,gpuss1-thermal,43.2,nspss0-thermal,43.6,nspss1-thermal,43.6,video-thermal,44.0,ddr-thermal,43.6,mdmss0-thermal,42.4,mdmss1-thermal,42.8,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,43.2,mdmss3-thermal,43.6,camera0-thermal,40.221,xo-thermal,41.876,quiet-thermal,41.43,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,43.2,aoss0-thermal,43.6,cpu0-thermal,43.6,cpu1-thermal,43.6,cpu2-thermal,43.2,cpu3-thermal,2933479446,361796495,460620868,9781.23,50,5982,0,460620868,2058646964,5982,9780.75,9.154488,0.529716
1759348519.4827552,1,sequential,"[0, 0, 0, 0, 0, 0, 0, 0]","[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",0,1,1,25x25,10,sparselu,bin-for-omp-tasks,1.231032264,1147.7233400898876,1344322,1057230,1,RUBIKPi,37.613638888888886,38.771111111111104,37.0,37.0,42.4,42.8,41.3,41.3,41.6,41.3,42.4,42.0,42.4,42.0,0.0,42.4,42.0,42.0,41.6,42.0,42.0,42.4,42.0,41.3,42.0,0.0,42.0,42.0,39.833,41.384,40.674,25.0,0.0,41.6,42.0,42.4,42.0,42.0,"[300000, 300000, 300000, 300000, 691200, 691200, 691200, 806400]",1,1.1984014624062205,0.890747174675,0.0,0.0,0.0,0.0,1146.5249386274813,786.825,0.0,0.0,37.0,pm7325-thermal,37.0,pm8350c-thermal,44.4,cpuss0-thermal,44.4,cpuss1-thermal,43.6,cpu4-thermal,42.8,cpu5-thermal,43.6,cpu6-thermal,42.8,cpu7-thermal,44.0,cpu8-thermal,43.2,cpu9-thermal,43.6,cpu10-thermal,44.0,cpu11-thermal,0.0,pm8350c-bcl-lvl0,43.6,aoss1-thermal,42.8,gpuss0-thermal,43.2,gpuss1-thermal,43.2,nspss0-thermal,43.2,nspss1-thermal,43.2,video-thermal,44.0,ddr-thermal,43.2,mdmss0-thermal,42.4,mdmss1-thermal,42.8,mdmss2-thermal,0.0,pm8350c-bcl-lvl1,42.8,mdmss3-thermal,43.6,camera0-thermal,40.26,xo-thermal,41.896,quiet-thermal,41.404,sdm-skin-thermal,25.0,qcom-battmgr-bat,0.0,pm8350c-bcl-lvl2,43.6,aoss0-thermal,44.0,cpu0-thermal,44.0,cpu1-thermal,43.6,cpu2-thermal,43.6,cpu3-thermal,351411041,79767175,42315961,1174.87,570,5109,0,42315961,274820370,5109,1174.51,0.807056,0.368905
