timestamp,iteration,run_mode,frequency_combination,frequencies,frequency_index,num_cores,cores_str,input_arg,application_id,benchmark,variant,time_elapsed,total_energy_consumption,branch_misses,cache_misses,core_combination,platform,avg_temp_before,avg_temp_after,thermal_zone_before0,thermal_zone_before1,thermal_zone_before2,thermal_zone_before3,thermal_zone_before4,thermal_zone_before5,thermal_zone_before6,thermal_zone_before7,frequencies_read,cores,energy_system_j,power_system_w,energy_main_j,power_main_w,energy_cpu_j,power_cpu_w,energy_denver_j,power_denver_w,energy_gpu_j,power_gpu_w,energy_ddr_j,power_ddr_w,thermal_zone0,thermal_zone0_type,thermal_zone1,thermal_zone1_type,thermal_zone2,thermal_zone2_type,thermal_zone3,thermal_zone3_type,thermal_zone4,thermal_zone4_type,thermal_zone5,thermal_zone5_type,thermal_zone6,thermal_zone6_type,thermal_zone7,thermal_zone7_type,cycles,cache_references,context_switches,minor_faults,major_faults,instructions,page_faults
1759359839.7416778,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,prot.20.aa,1,alignment,bin-for-omp-tasks,5.465849391,0.04823855284762383,28015128,993445,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.018555216217041016,0.003311,0.018555216217041016,0.003311,0.0024070426433086397,0.000451,0.00641173793554306,0.001136,0.0008387432813644409,0.00015,0.001470596553325653,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,1774327818,774000034,38,6462,0,3127687688,6462
1759359847.4238913,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,258064,2,fft,bin-omp-tasks,5.735970663,0.055544044252395626,4794561,35702949,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.02159737729382515,0.003573,0.02159737729382515,0.003573,0.0024064379799365997,0.000376,0.007425034536838532,0.001252,0.0009144614338874816,0.00015,0.0016033557140827178,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,1841530755,469436207,57,7881,0,1387962622,7881
1759359850.2904358,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,10,3,fib,bin-omp-tasks,1.142431657,0.013490359191894532,2413740,823469,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.005258069253921509,0.003424,0.005258069253921509,0.003424,0.0005752604656219482,0.000376,0.0017670912036895753,0.001155,0.00022949237823486327,0.00015,0.000402376636505127,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,324443250,65868056,37,6407,0,71092125,6407
1759359852.9478598,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,input.5,4,floorplan,bin-omp-tasks,1.206389729,0.012912214626789095,2580127,843152,1,JetsonTX2,43.5,43.5625,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.00496943353843689,0.003161,0.00496943353843689,0.003161,0.0005750915379524231,0.000376,0.0017665725088119506,0.001155,0.00022942500114440917,0.00015,0.0004022585020065308,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.0,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,344733664,71492818,43,6443,0,77036761,6443
1759359859.2104325,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,test.input,5,health,bin-omp-tasks,4.923787764,0.0437992474193573,12992582,4283126,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01697913618350029,0.003386,0.01697913618350029,0.003386,0.0019490243344306944,0.000376,0.0057929434108734135,0.001136,0.0007623513221740722,0.00015,0.00133665598487854,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,1483569261,315122209,44,6520,0,306012399,6520
1759359864.5247207,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,100000,6,concom,bin-omp-tasks,3.583292118,0.03571832664966583,2959839,1573071,1,JetsonTX2,43.5,43.63125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.013923158995866776,0.003423,0.013923158995866776,0.003423,0.0014135076398849487,0.0003,0.004778671030282974,0.001194,0.0006101077437400817,0.00015,0.0010697222440242769,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,476315934,107786116,38,9979,0,139387517,9979
1759359867.2461348,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,knapsack-016.input,7,knapsack,bin-omp-tasks,1.166903087,0.013097714738607408,2507577,801772,1,JetsonTX2,43.5,43.5625,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.005058714897871018,0.003311,0.005058714897871018,0.003311,0.0005744510335922242,0.000376,0.001774853951931,0.001155,0.00022916947603225708,0.00015,0.00040181048130989076,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.0,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,333767996,68688643,44,6401,0,73842161,6401
1759359879.6418257,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,10,8,nqueens,bin-omp-tasks,11.051104841,0.09419864842629432,31803317,1452747,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.03637567429375648,0.003273,0.03637567455649376,0.003273,0.004200366225481033,0.000376,0.012633232067823411,0.001117,0.0016756784319877623,0.00015,0.0029380228507518763,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,3360276920,709485873,40,6430,0,608310694,6430
1759359893.1004002,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,8388608,9,sort,bin-omp-tasks,11.96104038,0.10748441962361335,103373395,34291131,1,JetsonTX2,43.5,43.59375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.041555739621400835,0.003499,0.041555739621400835,0.003499,0.004889472204208375,0.000376,0.014447963463068009,0.001194,0.001828875803947449,0.00015,0.003206628909587859,0.000263,43.5,BCPU-therm,43.5,MCPU-therm,43.5,GPU-therm,43.5,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.5,thermal-fan-est,3856183196,963913202,40,7507,0,2093167181,7507
1759359896.374431,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,25x25,10,sparselu,bin-for-omp-tasks,1.723701414,0.017980843554019927,2936258,1069471,1,JetsonTX2,43.5,43.81875,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.006983937174797058,0.003462,0.006983937401294708,0.003462,0.0008048652980327606,0.000451,0.0023658289766311643,0.001155,0.0003059109091758728,0.00015,0.0005363637940883636,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.25,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,514449242,135385293,415,6588,0,293350084,6588
